filename,measurementHeight,stemDiameter,easting,northing,utmZone,decimalLatitude,decimalLongitude,stemAzimuth,stemDistance,measurementHeight_inches,stemDiameter_inches,stemDistance_inches,stemAzimuth_rad,X,Y
2015-08,130.0,26.2,321693.0,4096518.1,11N,36.997917,-119.00382,146.7,10.9,51.18113,10.3149662,429.13409,2.560398012675681,5.984348716179639,-9.110300238914144
2015-08,130.0,73.7,321693.0,4096518.1,11N,36.997917,-119.00382,306.0,2.8,51.18113,29.015763700000004,110.23628,5.340707511102648,-2.265247584249853,1.6457987064189241
2015-08,130.0,34.4,321693.0,4096518.1,11N,36.997917,-119.00382,98.0,16.5,51.18113,13.5433144,649.6066500000001,1.710422666954443,16.33942313423591,-2.2963561658410785
2015-08,130.0,14.0,321693.0,4096518.1,11N,36.997917,-119.00382,244.5,6.0,51.18113,5.511814,236.2206,4.267330021126136,-5.4155117060991635,-2.5830665808497706
2015-08,130.0,22.1,321693.0,4096518.1,11N,36.997917,-119.00382,118.3,9.1,51.18113,8.700792100000001,358.26791,2.0647245051092917,8.012343916933373,-4.314202702328757
2015-08,130.0,14.0,321693.0,4096518.1,11N,36.997917,-119.00382,146.2,5.1,51.18113,5.511814,200.78751,2.5516713664157096,2.8371076390515557,-4.238020793299073
2015-08,130.0,27.7,321693.0,4096518.1,11N,36.997917,-119.00382,76.9,8.6,51.18113,10.9055177,338.58286,1.3421581947836396,8.376193318599844,1.949201243956952
2015-08,130.0,13.3,321693.0,4096518.1,11N,36.997917,-119.00382,13.5,2.3,51.18113,5.236223300000001,90.55122999999999,0.23561944901923448,0.5369243368685823,2.236450816914656
2015-08,130.0,46.8,321693.0,4096518.1,11N,36.997917,-119.00382,252.8,11.8,51.18113,18.4252068,464.56718000000006,4.412192349041665,-11.272284673043655,-3.4893549905197534
2015-08,130.0,10.5,321693.0,4096518.1,11N,36.997917,-119.00382,64.9,8.8,51.18113,4.1338605,346.45688,1.13271868454432,7.969005431298029,3.732954920159433
2015-08,130.0,12.6,321693.0,4096518.1,11N,36.997917,-119.00382,115.2,3.4,51.18113,4.9606326,133.85834,2.0106192982974678,3.076411978384466,-1.4476495913212473
2015-08,130.0,37.5,321693.0,4096518.1,11N,36.997917,-119.00382,96.5,4.5,51.18113,14.763787500000001,177.16545,1.684242728174528,4.471073350544644,-0.5094144619555802
2015-08,130.0,31.8,321693.0,4096518.1,11N,36.997917,-119.00382,226.8,1.0,51.18113,12.5196918,39.3701,3.9584067435231396,-0.7289686274214117,-0.6845471059286886
2015-08,130.0,26.8,321693.0,4096518.1,11N,36.997917,-119.00382,160.8,9.0,51.18113,10.551186800000002,354.3309,2.8064894372068823,2.9597998206472464,-8.49938733213733
2015-08,130.0,15.0,321693.0,4096518.1,11N,36.997917,-119.00382,116.4,4.4,51.18113,5.905515,173.22844,2.0315632493213998,3.9411317450534167,-1.9563947884136816
2015-08,130.0,22.2,321693.0,4096518.1,11N,36.997917,-119.00382,218.3,1.8,51.18113,8.7401622,70.86618,3.8100537571036215,-1.1156022572312523,-1.4125974669595494
2015-08,130.0,104.3,321693.0,4096518.1,11N,36.997917,-119.00382,244.5,13.1,51.18113,41.0630143,515.74831,4.267330021126136,-11.823867224983173,-5.639695368188666
2015-08,130.0,36.0,321693.0,4096518.1,11N,36.997917,-119.00382,344.4,13.8,51.18113,14.173236000000001,543.3073800000001,6.010913943868471,-3.711093524490669,13.291643421807683
2015-08,130.0,12.9,321693.0,4096518.1,11N,36.997917,-119.00382,261.5,1.0,51.18113,5.078742900000001,39.3701,4.564035993965172,-0.9890158633619168,-0.14780941112961046
2015-08,130.0,25.5,321693.0,4096518.1,11N,36.997917,-119.00382,224.7,4.7,51.18113,10.0393755,185.03947000000002,3.9217548292312583,-3.3059551032093677,-3.3407575272030656
2015-08,130.0,67.8,321901.47,4096668.34,11N,36.99931,-119.001514,239.3,7.8,51.18113,26.6929278,307.08678,4.176572900022431,-6.706847718455614,-3.9822347597105225
2015-08,130.0,46.0,321901.47,4096668.34,11N,36.99931,-119.001514,323.5,2.7,51.18113,18.110246,106.29927,5.6461401302016565,-1.6060215242286209,2.1704135236664874
2015-08,130.0,18.8,321901.47,4096668.34,11N,36.99931,-119.001514,182.6,14.7,51.18113,7.401578800000001,578.74047,3.1869712141416455,-0.6668359255000263,-14.684867375923506
2015-08,130.0,57.7,321901.47,4096668.34,11N,36.99931,-119.001514,221.6,14.9,51.18113,22.716547700000003,586.61449,3.8676496224194343,-9.8925005685184,-11.142191548428125
2015-08,130.0,16.2,321901.47,4096668.34,11N,36.99931,-119.001514,197.7,5.9,51.18113,6.3779562,232.28359000000003,3.4505159311927893,-1.7937950594603913,-5.62070273939616
2015-08,130.0,16.2,321901.47,4096668.34,11N,36.99931,-119.001514,275.6,8.6,51.18113,6.3779562,338.58286,4.810127418496372,-8.558955639843747,0.839212937928685
2015-08,130.0,34.2,321901.47,4096668.34,11N,36.99931,-119.001514,197.3,12.2,51.18113,13.464574200000001,480.31521999999995,3.4435346141848124,-3.6279734637489907,-11.648081753934127
2015-08,130.0,19.2,321901.47,4096668.34,11N,36.99931,-119.001514,310.2,3.9,51.18113,7.5590592,153.54339,5.41401133968641,-2.978804511675105,2.5172849821234062
2015-08,130.0,66.2,321901.47,4096668.34,11N,36.99931,-119.001514,192.5,5.6,51.18113,26.063006200000004,220.47256,3.3597588100890845,-1.2120618380533763,-5.467257639871627
2015-08,130.0,10.5,321901.47,4096668.34,11N,36.99931,-119.001514,184.0,16.9,51.18113,4.1338605,665.35469,3.2114058236695664,-1.1788844062757171,-16.858832449391027
2015-08,130.0,149.5,321901.47,4096668.34,11N,36.99931,-119.001514,236.8,11.7,51.18113,58.8582995,460.63016999999996,4.132939668722573,-9.790142467469853,-6.4064897148628335
2015-08,130.0,64.9,321901.47,4096668.34,11N,36.99931,-119.001514,187.2,9.1,51.18113,25.551194900000002,358.26791,3.2672563597333846,-1.140532425435165,-9.028243781961748
2015-08,130.0,24.0,321901.47,4096668.34,11N,36.99931,-119.001514,276.2,1.9,51.18113,9.448824,74.80319,4.820599394008338,-1.8888868315473994,0.20519877584144208
2015-08,130.0,17.7,321901.47,4096668.34,11N,36.99931,-119.001514,188.8,14.3,51.18113,6.9685077,562.99243,3.2951816277652943,-2.187697458861746,-14.131665854685705
