uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"09c785d0-fcab-4ea8-a65f-99b2da7605d2","TEAK_059.basePlot.vst","2021-12-07",,"D17","TEAK","TEAK_059","tower","evergreenForest",37.001454,-119.004259,"WGS84",20.4,321662.19,4096911.36,"11N",2142.3,0.9,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"100","noneSelected",,"noneSelected",,,,,,,,,
"b801829e-cdce-4831-829c-2ebc3628fab1","TEAK_048.basePlot.vst","2021-12-07",,"D17","TEAK","TEAK_048","tower","evergreenForest",37.000370,-119.002543,"WGS84",20.1,321812.37,4096787.87,"11N",2181.0,0.2,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"noneSelected","noneSelected",,"noneSelected",,,,,,,,,
"eeb48ae2-ee6a-4dae-8323-37d8f08f3b8b","TEAK_061.basePlot.vst","2021-12-07",,"D17","TEAK","TEAK_061","tower","evergreenForest",37.001477,-119.001573,"WGS84",20.2,321901.27,4096908.88,"11N",2163.3,0.2,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"100","noneSelected",,"noneSelected",,,,,,,,,
"baba1149-c803-4fcb-bc55-b576ee4ec742","TEAK_054.basePlot.vst","2021-12-07",,"D17","TEAK","TEAK_054","tower","evergreenForest",36.999310,-119.001514,"WGS84",20.1,321901.47,4096668.34,"11N",2188.6,0.2,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","23_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"noneSelected","noneSelected",,"100",,,,,,,,,
"2a5ba71c-3ea1-4c49-8b2b-40f0c74486a1","TEAK_050.basePlot.vst","2021-12-08",,"D17","TEAK","TEAK_050","tower","evergreenForest",37.004195,-119.016131,"WGS84",20.3,320612.15,4097237.80,"11N",2148.9,0.8,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"25","noneSelected",,"noneSelected",,,,,,,,,
"144816b4-b45e-4334-8a34-d8bcb8ccc714","TEAK_052.basePlot.vst","2021-12-08",,"D17","TEAK","TEAK_052","tower","evergreenForest",37.008938,-119.009507,"WGS84",20.1,321212.71,4097751.57,"11N",2162.6,0.1,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","23_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"100","noneSelected",,"noneSelected",,,,,,,,,
