uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"519e7f61-a377-48b3-b198-88b8a21e936e","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","40_100","NEON.PLA.D17.TEAK.04751","1","ok","small shrub","Live",,,"noChange",0.9,,,,0.9,0.8,"Full sun","half-sphere",1.1,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","96e4a09d-685e-4269-8fec-5839dfe12603",
"08af82fc-a809-47cf-932a-d58f81aaa33f","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","41_100","NEON.PLA.D17.TEAK.04765","6","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",1.4,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","1ba4a75d-221b-4a78-b816-75fa50f6925e",
"9aa21679-f8b6-457a-98c2-1bdc0b8305e7","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","40_100","NEON.PLA.D17.TEAK.04755","1","ok","small shrub","Live",,,"noChange",1.0,,,,2.0,1.3,"Full sun","oblate half-sphere",1.4,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","e26498d7-debf-49f9-9173-4beb75c5fd04",
"e6952e23-3257-4ac9-8e7a-a46822bdda68","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","41_100","NEON.PLA.D17.TEAK.04763","2","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",1.5,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","2b57833c-1c54-464e-afec-4e79e1374e84",
"4932d0ac-bf70-4a34-bf0f-c972930434dd","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","32_100","NEON.PLA.D17.TEAK.04774","1","ok","small shrub","Live, physically damaged",,,"noChange",0.5,,,,1.3,0.7,"Full sun","oblate half-sphere",2.4,10,,,,,,,,,,,"Physical; Crown damage","0000-0002-3020-1597","0000-0003-1699-6511","68908ef8-9482-417b-bfd0-8bfb44b35f98",
"bb744514-664a-4f83-a4c3-818c71a860a3","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","40_100","NEON.PLA.D17.TEAK.04756","1","ok","small shrub","Live",,,"noChange",0.9,,,,1.4,0.8,"Full sun","oblate half-sphere",1.9,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","3d1480e0-1dc6-468b-9cd7-2f765d61c256",
"0a67ea15-3338-4a00-813d-935028805b35","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","41_100","NEON.PLA.D17.TEAK.04761","6","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",1.4,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","b61792d1-6168-438e-96f6-96b233e5e243",
"6941c241-58ca-447d-95fe-0d88d2c4fe59","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","41_100","NEON.PLA.D17.TEAK.04767","1","ok","small shrub","Live",,,"noChange",0.9,,,,2.0,1.4,"Full sun","oblate half-sphere",2.4,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","d7e1bc1a-7484-4ccd-b5fd-45f1acba07f7",
"d0d94beb-2a35-4280-97f0-f95b51d2ad30","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","32_100","NEON.PLA.D17.TEAK.04771","4","ok","small shrub","Live",,,"noChange",,,,,,,,"half-sphere",2.6,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","280c21d9-526e-4db6-9fea-56acc78e714a",
"952dca2d-2418-444d-9694-2ac7275beee4","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","41_100","NEON.PLA.D17.TEAK.04766","1","ok","small shrub","Live",,,"noChange",1.6,,,,1.6,1.4,"Full sun","cylinder",2.4,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","2b28a886-995d-4308-98dd-dd397da50135",
"4755695f-4d12-4df0-8d44-f78944e42410","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","40_100","NEON.PLA.D17.TEAK.09101","3","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",3.4,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","ffe71a2a-f72b-49f4-852c-30b0cf071ba3",
"f9c11694-8154-433b-8894-9a08ef38e077","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","32_100","NEON.PLA.D17.TEAK.04770","3","ok","small shrub","Live",,,"noChange",,,,,,,,"half-sphere",2.9,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","94415c81-29f9-4b96-8986-df741af2009c",
"f329ce57-7a7e-4e92-99ca-7e9afecad4cf","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","32_100","NEON.PLA.D17.TEAK.04771","1","ok","small shrub","Live",,,"noChange",1.0,,,,1.6,0.9,"Full sun","half-sphere",2.7,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","61d096ea-18b4-471d-8248-511fd7f3cac6",
"29beb851-20db-4ffb-bd84-1abafea34084","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","32_100","NEON.PLA.D17.TEAK.09106","4","ok","small shrub","Live",,,"noChange",,,,,,,,"half-sphere",1.8,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","01b34189-da0d-41c6-977c-bbaf93559255",
"f7a758c5-bdbc-4eb2-8f31-faeb2b8ebdf2","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","32_100","NEON.PLA.D17.TEAK.09102","1","ok","small shrub","Live",,,"noChange",1.1,,,,1.0,1.0,"Full sun","half-sphere",2.3,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","77975070-78dc-43db-8740-fd15b65a0b57",
"5d0631ec-6f8c-4d39-bfa2-fa24a54de5c1","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","32_100","NEON.PLA.D17.TEAK.04769","1","ok","small shrub","Live",,,"noChange",0.8,,,,1.4,1.1,"Full sun","oblate half-sphere",4.2,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","c9232544-a2ef-47a2-874e-fc8770351f77",
"5c2898df-05bc-415d-ac7d-0b4fce57c077","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","41_100","NEON.PLA.D17.TEAK.04766","4","ok","small shrub","Live",,,"noChange",,,,,,,,"half-sphere",1.4,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","46c5d72a-f993-43c2-9740-2ef353f44001",
"ba7b3862-684a-49d9-b625-cf9c74a8a4e7","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","32_100","NEON.PLA.D17.TEAK.09108","2","ok","small shrub","Live",,,"noChange",,,,,,,,"half-sphere",8.1,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","d9f2b8a0-849d-4eb1-a665-0c4a8df909c8",
"35f551ab-3ff2-4771-a135-79ed6399a2a2","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","41_100","NEON.PLA.D17.TEAK.04767","3","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",2.2,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","c77bbc3d-2fe9-464b-a8be-609f7558769e",
"0ad6c3d0-d7dd-4ddb-a9e8-5b5d68ea943a","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","40_100","NEON.PLA.D17.TEAK.04749","1","ok","small shrub","Live",,,"noChange",0.9,,,,0.6,0.6,"Full sun","cylinder",1.2,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","37a50e96-0fa1-4785-8699-b4ad3093a8ab",
"32c0480c-f446-4854-80f9-63b459599326","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","32_100","NEON.PLA.D17.TEAK.09106","5","ok","small shrub","Live",,,"noChange",,,,,,,,"half-sphere",1.8,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","1df8633a-532c-4716-9681-06044e673ee3",
"8e714194-e8c9-4ed4-96fb-42b58ed0c782","TEAK_024.basePlot.vst","2022-09-07","vst_TEAK_2022","D17","TEAK","TEAK_024","40_100","NEON.PLA.D17.TEAK.09101","2","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",1.2,10,,,,,,,,,,,,"0000-0002-3020-1597","0000-0003-1699-6511","c4fea775-5aaa-4892-ac67-639f2624ad84",
