uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"5ba3d9a2-e305-48ee-8634-daaabe0d08cf","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.04587","3","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",1.5,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","cb81724f-cd7b-4d1a-8014-dda1ac136326",
"b6725aef-0eeb-46e7-9626-80d36211aac7","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05929","1","ok","sapling","Live",,,"noChange",0.3,,,,,,"Mostly shaded",,1.1,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","9724a67f-cce5-4039-8aa5-e02c25cd0ea2",
"97ac74f7-0c54-49a0-9d3c-c32e2916a78f","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05915","7","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",1.4,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","36656a9f-4373-4b0d-80de-f0e90050e929",
"8609eb88-419c-49d8-a523-d0be5d93af6e","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02081","1","ok","sapling","Live",,,"noChange",0.5,,,,,,"Full sun",,1.8,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","ff05ef39-a880-4ad4-ab75-5a784a457747",
"2fee0807-ae75-4f79-b405-ec9bf2039b9e","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09250","1","ok","sapling","Live",,,"noChange",0.5,,,,,,"Partially shaded",,1.2,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","8ac184d1-ab35-4f97-84a5-e02bc6f8b78c",
"c59d5c42-227a-4931-b8c8-85191648a1c7","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02010","1",,,"Lost, fate unknown",,,"noChange",,,,,,,,,,,,,,,,,,,,,"Lost; likely downed","0000-0002-5872-682X","0000-0003-1699-6511","9c0c35b1-76f8-481a-890e-2161fad85fbd",
"97ba1ba6-8586-4bb3-9f8c-5a62c7a50a82","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09222","1","ok","sapling","Live",,,"noChange",0.5,,,,,,"Partially shaded",,1.1,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","da3addca-70a3-4569-a163-5b994e00a664",
"1396b98f-c675-4efa-88d3-b901f3d27508","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02148","1",,,"Lost, fate unknown",,,"noChange",,,,,,,,,,,,,,,,,,,,,"Lost; likely downed","0000-0002-5872-682X","0000-0003-1699-6511","187382c0-53dd-4698-985e-910ded5546d0",
"f1382bd2-0c27-4865-b3ce-c03d3e10bcd9","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02113","1","ok","small tree","Live",4.4,130,"noChange",4.0,,,,1.9,1.4,"Mostly shaded",,,,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","14ccce51-098d-4288-ab56-54a97380f2f7",
"8981976d-2c29-4f78-adb0-aec8dfd98529","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05918","1","ok","small shrub","Live",,,"noChange",0.3,,,,0.6,0.5,"Partially shaded","oblate half-sphere",1.6,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","7a145393-6800-4506-bd93-52fccd7c0736",
"59ab893a-465b-48c4-b8ed-e1bbb00b7b12","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09055","1","ok","sapling","Live",,,"noChange",1.3,,,,,,"Partially shaded",,3.3,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","4a930be1-75a3-4b91-bcd0-a4b41f3d4119",
"cca4b0a1-9089-466a-b4cf-362b61634078","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05941","1","ok","sapling","Live",,,"noChange",0.5,,,,,,"Partially shaded",,1.5,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","5f5786b2-c1dc-4867-b528-9e35bcd7a297",
"28aca3e2-7265-43fb-9944-27b1112dddf2","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.05985","1","ok","sapling","Live",,,"noChange",0.7,,,,,,"Partially shaded",,1.4,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","04d203cc-d78a-48d6-a26f-77ce4919cf9c",
"c17b1f0d-a87d-48c6-bb4c-b7aff9bf1493","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05905","1","ok","small shrub","Live",,,"noChange",0.5,,,,0.9,0.6,"Partially shaded","oblate half-sphere",1.6,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","219af301-b637-4588-bbef-f2b63bb1d4b3",
"0b7f3c39-694f-402d-9737-3d4cf839437a","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.05606","1","ok","small tree","Live, physically damaged",2.5,130,"noChange",1.9,,,,1.2,0.7,"Partially shaded",,,,,,,,,,,,,,"growing from under fallen tree | Physical; Crushed","0000-0002-5872-682X","0000-0003-1699-6511","4ccd40a8-c6e4-47fd-aec7-881bd2c11448",
"bf5e7a4c-4638-4541-9a80-d387dc2459cc","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09236","1","ok","sapling","Live",,,"noChange",0.7,,,,,,"Mostly shaded",,1.8,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","6079076e-d682-4a90-953c-86606861b819",
"2c33165e-0c69-4c21-a6b6-e22285bfad7a","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02095","1","ok","sapling","Live",,,"noChange",1.8,,,,,,"Partially shaded",,3.2,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","c3a2cc3c-42fd-47e8-bfa0-225c7ef4ca02",
"b9095d58-df6f-4b13-9007-4d69a21ed1b1","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02077","1","ok","small tree","Live",3.1,130,"noChange",2.3,,,,1.0,0.9,"Full sun",,,,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","652465fe-fff9-400f-a218-6e8099de55bf",
"fd428c9f-709e-42c9-8b43-8877f55bc91e","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02064","1","ok","small tree","Standing dead",8.7,130,"noChange",3.4,,,,1.3,1.3,"Partially shaded",,,,,,,,,,,,,,"Dead; Unknown cause of death","0000-0002-5872-682X","0000-0003-1699-6511","4d2b0850-a8ba-4bb7-9532-5ae461664e2b",
"c92017e3-4a74-4d43-8923-f18289f296ad","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02145","1",,,"Lost, fate unknown",,,"noChange",,,,,,,,,,,,,,,,,,,,,"Lost; likely downed","0000-0002-5872-682X","0000-0003-1699-6511","29cd2611-8380-4b23-87af-eff67ae9a974",
"016641d7-1841-4b48-9122-73e6a0d53627","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09088","1","ok","sapling","Live",,,"noChange",0.4,,,,,,"Partially shaded",,1.0,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","cf0c8b0d-c8ee-4f22-ac45-7a4d74cacd45",
"b0d54cd0-567d-4ab2-8247-9104df2c67bb","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05927","1","ok","sapling","Live",,,"noChange",1.3,,,,,,"Partially shaded",,2.1,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","6bd95a7e-2a32-424b-9dbd-d945a9d38b79",
"3e62ded2-2d2a-438e-8be0-1e67e92b7407","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05901","1","ok","small shrub","Live",,,"noChange",0.6,,,,2.0,1.0,"Partially shaded","oblate half-sphere",1.4,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","307d4094-9ed5-41cc-9039-4e3a5222f69a",
"5648cf5c-4c92-429b-aa9d-024adbee4ba9","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02017","1","ok","single bole tree","Live",11.6,130,"noChange",6.2,,,,1.9,1.8,"Partially shaded",,,,,,,,,,,,,,"Drought induced yellowing","0000-0002-5872-682X","0000-0003-1699-6511","2db661a9-30df-4f06-aab4-f74a5fcbadc5",
"53c811f0-67c6-4dbc-be29-5f5cadcd18a4","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02093","1","ok","sapling","Live",,,"noChange",1.5,,,,,,"Partially shaded",,3.7,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","cc3bdfee-596f-4c45-8a5e-b5a36b971094",
"5f6f5702-de9b-414b-bcdd-dfff2a9d61ad","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.09342","24","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"oblate half-sphere",1.6,10,,,,,,,,,,,"Dead; Individual killed in wildland fire","0000-0002-5872-682X","0000-0003-1699-6511","383e1454-77c6-4eeb-bd2b-862d98f379ad",
"539b6803-0188-41b7-9956-814ab1016716","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09050","1","ok","small tree","Live",1.3,130,"noChange",1.5,,,,1.3,1.2,"Mostly shaded",,,,,,,,,,,,,,"Physical; Other drought stress","0000-0002-5872-682X","0000-0003-1699-6511","0e8b1ddc-be27-47c2-a993-8a12634e6d25",
"e926f8d3-39fa-4429-a2a1-81b477da1894","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02060","1","ok","small tree","Live",9.5,130,"noChange",4.5,,,,1.8,1.6,"Partially shaded",,,,,,,,,,,,,,"Fallen tree on it| Physical; Other","0000-0002-5872-682X","0000-0003-1699-6511","1fc428e1-90f4-4278-9168-4e7326caf696",
"e680513b-9784-4e8d-8c82-0336079ae3cd","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02089","1",,,"Downed",,,"noChange",,,,,,,,,,,,,,,,,,,,,"Dead; Unknown cause of death","0000-0002-5872-682X","0000-0003-1699-6511","15266e07-ba3a-4488-9358-600abdeca684",
"7614efdf-4b1d-4a8d-89ac-794706eeb387","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.09342","26","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"oblate half-sphere",1.8,10,,,,,,,,,,,"Dead; Individual killed in wildland fire","0000-0002-5872-682X","0000-0003-1699-6511","32cc2f19-bf55-4fc6-8303-55492e156ef8",
"19eb8975-6415-42b4-81cb-d6f03958c975","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05916","1","ok","small shrub","Live",,,"noChange",0.6,,,,1.3,0.9,"Partially shaded","oblate half-sphere",1.5,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","6aebd704-7ca9-4893-8ecb-890468d0a1cd",
"93012b06-e5c9-4d3d-8118-e4fcc405ca09","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02066","1","ok","small tree","Live",4.6,130,"noChange",2.9,,,,1.2,0.7,"Mostly shaded",,,,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","59d0228d-a045-4632-85ca-60133401e882",
"2ee9a5c0-472c-4ea7-9b18-ed5aa542a981","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02063","1","ok","sapling","Live",,,"noChange",0.8,,,,,,"Partially shaded",,1.8,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","5a0b9c37-de29-4741-b91f-12634c43dda2",
"7ad93c78-9fba-4bb2-a4ae-242a0798c1b4","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02049","1",,,"Lost, presumed dead",,,"noChange",,,,,,,,,,,,,,,,,,,,,"Lost; likely downed","0000-0002-5872-682X","0000-0003-1699-6511","606cf040-3cb7-473a-b7a4-5cdf40ecef55",
"6408fe0c-881c-402c-b7bb-4623e9aa1f71","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09045","1","ok","sapling","Live",,,"noChange",0.5,,,,,,"Mostly shaded",,1.4,10,,,,,,,,,,,"Physical; Other drought stress","0000-0002-5872-682X","0000-0003-1699-6511","cc97c5a2-54ec-484b-9f0c-5f936c2b99e2",
"2dbb5782-d9d0-409a-8c0a-6044d901ede9","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09261","1","ok","small tree","Live",3.3,130,"noChange",2.0,,,,1.4,1.1,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","14fab4a0-2d09-4ecd-a001-d146c5ba9f91",
"dba070f7-4daf-4b82-8a5b-41ad86d8d40c","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09098","1","ok","sapling","Live",,,"noChange",0.7,,,,,,"Mostly shaded",,2.0,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","8aec1e2e-72e3-4918-9d9b-8030f94c158f",
